Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-26,OKC,L,97,103,96.7,102.6,100.3,.298,.286,.511,44.8,58.3,5.0,13.9,.470,12.0,11.1,.214,.447,8.7,74.5,.202
2,2,2016-10-29,ATL,L,72,104,71.8,103.7,100.3,.188,.225,.416,45.3,57.1,9.0,7.7,.381,18.8,8.9,.138,.524,11.2,85.4,.176
3,3,2016-11-01,ORL,L,101,103,106.7,108.9,94.6,.198,.247,.574,51.9,70.0,5.3,11.8,.549,14.6,20.6,.148,.484,9.1,74.5,.140
4,4,2016-11-02,CHO,L,93,109,96.4,113.0,96.5,.174,.442,.502,45.7,67.6,8.3,4.4,.465,15.5,18.6,.151,.576,14.2,76.3,.228
5,5,2016-11-05,CLE,L,101,102,98.7,99.7,102.3,.138,.437,.547,47.9,52.5,8.8,17.0,.540,15.6,11.6,.080,.484,13.9,78.4,.154
6,6,2016-11-07,UTA,L,84,109,90.2,117.0,93.1,.286,.273,.485,48.3,51.6,5.4,3.0,.448,17.2,20.5,.195,.571,9.6,76.7,.141
7,7,2016-11-09,IND,L,115,122,107.2,113.7,97.1,.200,.379,.556,50.6,50.0,9.3,9.7,.558,14.1,21.7,.095,.588,13.1,82.9,.165
8,8,2016-11-11,IND,W,109,105,104.4,100.6,94.5,.360,.372,.547,57.4,66.7,6.7,8.7,.483,16.0,26.5,.302,.472,11.7,91.1,.250
9,9,2016-11-12,ATL,L,96,117,96.6,117.7,99.4,.241,.349,.523,42.9,58.3,14.1,6.3,.500,17.1,21.3,.157,.574,13.7,65.9,.084
10,10,2016-11-14,HOU,L,88,115,91.0,118.9,96.7,.189,.244,.451,40.4,52.9,11.4,13.7,.406,11.0,20.4,.167,.577,15.5,62.2,.110
11,11,2016-11-16,WAS,W,109,102,111.2,104.1,98.0,.286,.364,.629,50.6,71.4,6.1,1.5,.610,16.4,14.7,.195,.462,9.7,76.6,.198
12,12,2016-11-17,MIN,L,86,110,95.5,122.1,90.1,.229,.386,.471,44.9,48.4,10.0,3.4,.428,14.1,27.7,.181,.541,12.2,64.3,.212
13,13,2016-11-19,PHO,W,120,105,113.2,99.0,106.0,.233,.407,.633,50.0,73.3,10.4,12.7,.622,16.0,15.8,.151,.457,12.3,76.0,.228
14,14,2016-11-21,MIA,W,101,94,111.5,103.8,90.6,.256,.333,.582,44.4,56.8,8.8,8.8,.545,13.9,19.4,.205,.426,11.5,61.1,.216
15,15,2016-11-23,MEM,L,99,104,85.9,90.3,95.4,.247,.387,.480,54.9,68.6,7.8,14.3,.441,20.1,17.8,.183,.434,12.0,84.2,.182
16,16,2016-11-25,CHI,L,89,105,89.8,105.9,99.1,.282,.282,.508,48.5,58.1,7.1,11.6,.455,17.8,16.7,.231,.478,10.6,78.4,.211
17,17,2016-11-27,CLE,L,108,112,111.8,115.9,96.6,.109,.370,.560,52.1,67.4,5.2,9.6,.549,14.2,28.9,.076,.478,7.9,72.5,.261
18,18,2016-11-28,TOR,L,95,122,103.4,132.7,91.9,.151,.395,.518,47.5,75.0,9.8,6.9,.500,13.2,26.1,.105,.630,11.7,76.5,.325
19,19,2016-12-02,ORL,L,88,105,96.6,115.3,91.1,.105,.337,.443,49.5,66.7,3.3,11.5,.426,9.1,27.3,.074,.558,10.1,81.6,.231
20,20,2016-12-03,BOS,L,106,107,115.7,116.8,91.6,.342,.434,.606,50.7,57.1,5.5,6.0,.559,14.6,20.5,.276,.553,10.1,83.3,.303
